epoch,train_huber_loss,val_huber_loss,val_mae_solidVolume,val_rmse_solidVolume,val_r2_solidVolume,val_mae_surfaceVolume,val_rmse_surfaceVolume,val_r2_surfaceVolume,val_mae_supportSurfaceArea,val_rmse_supportSurfaceArea,val_r2_supportSurfaceArea,val_mae_aligned_dim_x,val_rmse_aligned_dim_x,val_r2_aligned_dim_x,val_mae_aligned_dim_y,val_rmse_aligned_dim_y,val_r2_aligned_dim_y,val_mae_aligned_dim_z,val_rmse_aligned_dim_z,val_r2_aligned_dim_z,lr,epoch_time_s
23,0.088606,0.065900,0.04497396,0.09425609,0.82621941,0.00838672,0.01745901,0.87909359,0.02540461,0.04918607,0.56878174,0.10312515,0.16678436,0.90082473,0.05795015,0.10033906,0.94701399,0.10572229,0.17890304,0.78542739,2.91e-04,39.89
24,0.087629,0.058814,0.03568910,0.07706672,0.88382407,0.00787147,0.01671073,0.88923538,0.02728090,0.04862509,0.57856195,0.11075612,0.17227021,0.89419333,0.06086246,0.09817553,0.94927434,0.09146914,0.15373315,0.84155670,2.90e-04,39.86
25,0.082669,0.055971,0.03022147,0.06600609,0.91477825,0.00785534,0.01597942,0.89871802,0.02361551,0.04649799,0.61462708,0.09348597,0.14895643,0.92089367,0.07230631,0.10980550,0.93654449,0.10948346,0.17617045,0.79193213,2.89e-04,39.83
26,0.083402,0.054393,0.02852711,0.06453546,0.91853345,0.00690490,0.01416137,0.92045356,0.02440104,0.04397789,0.65526798,0.10745617,0.17313194,0.89313214,0.09781375,0.14430557,0.89040584,0.10067635,0.15933125,0.82980736,2.88e-04,39.86
27,0.080924,0.072431,0.04804538,0.10797459,0.77195238,0.01067738,0.02268318,0.79591170,0.02582063,0.04737883,0.59988797,0.11764325,0.18713443,0.87514667,0.07584422,0.12482540,0.91799749,0.09648480,0.15480942,0.83933046,2.87e-04,39.87
28,0.080660,0.051031,0.03216175,0.06723490,0.91157563,0.00846174,0.01682927,0.88765837,0.02374434,0.04315385,0.66806588,0.09933104,0.15783329,0.91118426,0.05778194,0.09609798,0.95139850,0.08320472,0.14306825,0.86277748,2.86e-04,39.89
29,0.076471,0.051263,0.02847212,0.06130516,0.92648490,0.00676793,0.01350331,0.92767457,0.02484954,0.04661193,0.61273606,0.10680259,0.16649334,0.90117054,0.07008158,0.11318982,0.93257267,0.09069796,0.14506020,0.85892978,2.85e-04,39.89
30,0.079812,0.068015,0.04552105,0.09836221,0.81074862,0.00957932,0.02061652,0.83140642,0.02410072,0.04423931,0.65115741,0.10974225,0.17091204,0.89585510,0.09849541,0.15083951,0.88025665,0.09370617,0.15803437,0.83256667,2.84e-04,39.89
31,0.075773,0.051775,0.02837867,0.06047780,0.92845580,0.00677258,0.01390067,0.92335538,0.02445894,0.04499260,0.63917630,0.11615077,0.18116315,0.88298747,0.06180711,0.10584892,0.94103504,0.09515984,0.15320522,0.84264304,2.83e-04,39.89
32,0.075153,0.060453,0.03541798,0.07335536,0.89474416,0.00993315,0.02114444,0.82266164,0.02335905,0.04402542,0.65452251,0.12199538,0.19364190,0.86631232,0.06032784,0.09945164,0.94794709,0.09851170,0.15358213,0.84186786,2.82e-04,39.85
33,0.072903,0.064380,0.04681598,0.10284714,0.79309693,0.00990089,0.02076836,0.82891382,0.02347487,0.04415040,0.65255816,0.11395594,0.17106451,0.89566920,0.06411763,0.10586719,0.94101468,0.09211661,0.15575592,0.83735978,2.81e-04,39.88
